id,name,type,lat,lon,elevation,scada_link_id,replacement_cost
SUB-001,Fort Myers Beach,Transformer,26.45000,-81.95000,5.0,SCADA-0001,2880000
SUB-002,AdventHealth Tampa,Hospital,28.05470,-82.42140,7.1,SCADA-0002,9696000
SUB-003,Babcock Ranch Solar,Switchgear,26.78000,-81.72000,14.3,SCADA-0003,960000
SUB-004,Bartow,Transformer,27.86670,-82.66670,4.8,SCADA-0004,1540000
SUB-005,Bayfront Health Punta Gorda,Hospital,26.92970,-82.04540,11.3,SCADA-0005,6398000
SUB-006,Big Bend,Transformer,27.79440,-82.40360,6.6,SCADA-0006,2956000
SUB-007,Blue Heron Solar,Switchgear,27.05000,-81.95000,11.6,SCADA-0007,447000
SUB-008,Bradenton Switching Yard,Switchgear,27.48000,-82.56000,5.5,SCADA-0008,1051000
SUB-009,C.D. McIntosh Jr,Transformer,28.08030,-81.92280,10.7,SCADA-0009,1617000
SUB-010,Cape Coral Feeder Station,Switchgear,26.56000,-81.95000,11.4,SCADA-0010,494000
SUB-011,Cape Coral Hospital,Hospital,26.64000,-81.98000,12.2,SCADA-0011,9494000
SUB-012,Cape Coral Wastewater Plant,WaterPlant,26.58000,-82.02000,12.4,SCADA-0012,3061000
SUB-013,Charlotte County East Port WWTP,WaterPlant,26.98000,-82.05000,11.5,SCADA-0013,2507000
SUB-014,Charlotte Substation East,Switchgear,26.98000,-81.98000,11.5,SCADA-0014,536000
SUB-015,City of Sarasota WWTP,WaterPlant,27.31000,-82.54000,4.6,SCADA-0015,6696000
SUB-016,Collier County South County WWTP,WaterPlant,26.14000,-81.72000,14.4,SCADA-0016,3989000
SUB-017,Collier Transmission Hub,Switchgear,26.20000,-81.70000,13.0,SCADA-0017,487000
SUB-018,Estero Transmission Node,Switchgear,26.43000,-81.81000,13.9,SCADA-0018,584000
SUB-019,FPL Battery Big Bend,Battery,27.79000,-82.39000,6.4,SCADA-0019,1110000
SUB-020,FPL Battery Fort Myers,Battery,26.64000,-81.86000,14.4,SCADA-0020,1992000
SUB-021,FPL Battery Manatee,Battery,27.63000,-82.34000,8.8,SCADA-0021,1367000
SUB-022,Fort Myers Beach Tap,Switchgear,26.45000,-81.95000,4.8,SCADA-0022,543000
SUB-023,Fort Myers Central WWTP,WaterPlant,26.62000,-81.86000,11.8,SCADA-0023,2863000
SUB-024,Fort Myers Solar,Switchgear,26.58000,-81.70000,13.3,SCADA-0024,865000
SUB-025,Gulf Coast Medical Center,Hospital,26.54320,-81.86640,13.5,SCADA-0025,8976000
SUB-026,Hillsborough County South County WWTP,WaterPlant,27.72000,-82.38000,7.5,SCADA-0026,5331000
SUB-027,Hillsborough Tie,Switchgear,27.95000,-82.35000,6.1,SCADA-0027,1043000
SUB-028,Hines Energy Complex,Transformer,27.78860,-81.87310,11.0,SCADA-0028,2997000
SUB-029,Intercession City,Transformer,28.26250,-81.56940,16.5,SCADA-0029,2371000
SUB-030,Lake Placid Solar,Switchgear,27.28000,-81.37000,19.2,SCADA-0030,517000
SUB-031,Lakeland Intertie,Switchgear,28.04000,-81.95000,10.6,SCADA-0031,492000
SUB-032,Lee County Battery Pilot,Battery,26.60000,-81.82000,12.1,SCADA-0032,1146000
SUB-033,Lee County Switching Station,Switchgear,26.61000,-81.90000,13.6,SCADA-0033,733000
SUB-034,Lee County Three Oaks Pump Station,Pump,26.50000,-81.80000,13.6,SCADA-0034,314000
SUB-035,Lee Memorial Hospital,Hospital,26.62850,-81.87200,14.4,SCADA-0035,6346000
SUB-036,Manatee,Transformer,27.64000,-82.35170,8.5,SCADA-0036,1849000
SUB-037,Manatee Solar Energy Center,Switchgear,27.55000,-82.25000,7.5,SCADA-0037,949000
SUB-038,NCH Baker Hospital Downtown,Hospital,26.16670,-81.79670,15.0,SCADA-0038,11526000
SUB-039,North Port Substation,Switchgear,27.05000,-82.20000,9.5,SCADA-0039,1089000
SUB-040,Osceola Generating Station,Transformer,28.28000,-81.35000,17.1,SCADA-0040,3040000
SUB-041,Osprey Energy Center,Transformer,28.05390,-81.74890,15.1,SCADA-0041,1425000
SUB-042,Polk Power Station,Transformer,27.72860,-81.98940,11.6,SCADA-0042,3358000
SUB-043,Punta Gorda Solar,Switchgear,26.92000,-82.05000,12.2,SCADA-0043,735000
SUB-044,Riverview Energy Center,Transformer,27.86640,-82.32670,7.0,SCADA-0044,1715000
SUB-045,Sarasota Memorial Hospital,Hospital,27.29810,-82.53000,6.8,SCADA-0045,14361000
SUB-046,Sarasota Ring Bus,Switchgear,27.32000,-82.48000,5.4,SCADA-0046,1080000
SUB-047,Tampa Electric Big Bend Storage,Battery,27.80000,-82.41000,6.9,SCADA-0047,1122000
SUB-048,Tampa General Hospital,Hospital,27.94300,-82.45890,5.4,SCADA-0048,13792000
SUB-049,Tiger Bay,Transformer,27.75000,-81.80000,12.1,SCADA-0049,1547000
SUB-050,Venice Distribution Hub,Switchgear,27.10000,-82.44000,5.2,SCADA-0050,441000
