parent_id,child_id
SUB-027,SUB-002
SUB-044,SUB-002
SUB-047,SUB-002
SUB-043,SUB-005
SUB-014,SUB-005
SUB-007,SUB-005
SUB-033,SUB-011
SUB-010,SUB-011
SUB-020,SUB-011
SUB-010,SUB-012
SUB-033,SUB-012
SUB-001,SUB-012
SUB-043,SUB-013
SUB-014,SUB-013
SUB-007,SUB-013
SUB-046,SUB-015
SUB-008,SUB-015
SUB-050,SUB-015
SUB-017,SUB-016
SUB-018,SUB-016
SUB-001,SUB-016
SUB-020,SUB-023
SUB-033,SUB-023
SUB-032,SUB-023
SUB-032,SUB-025
SUB-033,SUB-025
SUB-010,SUB-025
SUB-019,SUB-026
SUB-006,SUB-026
SUB-036,SUB-026
SUB-018,SUB-034
SUB-032,SUB-034
SUB-024,SUB-034
SUB-020,SUB-035
SUB-033,SUB-035
SUB-032,SUB-035
SUB-017,SUB-038
SUB-018,SUB-038
SUB-001,SUB-038
SUB-046,SUB-045
SUB-008,SUB-045
SUB-050,SUB-045
SUB-027,SUB-048
SUB-044,SUB-048
SUB-047,SUB-048
SUB-001,SUB-002
