id,scada_link_id,type,load,oil_temp,voltage,battery_voltage,scada_source
SUB-001,SCADA-0001,Transformer,0.639,76.7,122.7,120.8,ETT-ETTh1-row10479
SUB-002,SCADA-0002,Hospital,0.629,70.8,115.9,131.5,synthetic-lifeline
SUB-003,SCADA-0003,Switchgear,0.846,74.0,122.6,127.7,ETT-ETTh1-row9892
SUB-004,SCADA-0004,Transformer,0.656,72.2,116.3,121.0,ETT-ETTh1-row5041
SUB-005,SCADA-0005,Hospital,0.721,56.1,121.4,128.5,synthetic-lifeline
SUB-006,SCADA-0006,Transformer,0.702,62.5,119.4,116.5,ETT-ETTh1-row14262
SUB-007,SCADA-0007,Switchgear,0.687,65.0,120.5,113.3,ETT-ETTh1-row5172
SUB-008,SCADA-0008,Switchgear,0.814,60.6,123.3,124.6,ETT-ETTh1-row5647
SUB-009,SCADA-0009,Transformer,0.814,70.2,122.6,119.1,ETT-ETTh1-row11167
SUB-010,SCADA-0010,Switchgear,0.970,83.6,124.7,129.9,ETT-ETTh1-row1728
SUB-011,SCADA-0011,Hospital,0.428,68.4,119.7,112.9,synthetic-lifeline
SUB-012,SCADA-0012,WaterPlant,0.623,49.6,122.4,131.4,synthetic-lifeline
SUB-013,SCADA-0013,WaterPlant,0.498,54.8,119.7,115.8,synthetic-lifeline
SUB-014,SCADA-0014,Switchgear,0.832,92.1,116.3,121.5,ETT-ETTh1-row1288
SUB-015,SCADA-0015,WaterPlant,0.618,51.8,119.4,128.7,synthetic-lifeline
SUB-016,SCADA-0016,WaterPlant,0.475,66.0,123.3,128.1,synthetic-lifeline
SUB-017,SCADA-0017,Switchgear,0.680,69.1,118.9,117.8,ETT-ETTh1-row10234
SUB-018,SCADA-0018,Switchgear,0.732,86.9,121.8,114.8,ETT-ETTh1-row1912
SUB-019,SCADA-0019,Battery,0.675,71.6,117.0,112.1,ETT-ETTh1-row7343
SUB-020,SCADA-0020,Battery,0.894,91.9,122.9,125.3,ETT-ETTh1-row106
SUB-021,SCADA-0021,Battery,0.877,60.4,122.1,127.6,ETT-ETTh1-row13972
SUB-022,SCADA-0022,Switchgear,0.733,66.3,119.6,123.4,ETT-ETTh1-row3540
SUB-023,SCADA-0023,WaterPlant,0.396,49.2,121.7,121.4,synthetic-lifeline
SUB-024,SCADA-0024,Switchgear,0.728,70.4,120.7,127.3,ETT-ETTh1-row11539
SUB-025,SCADA-0025,Hospital,0.571,64.0,120.6,118.1,synthetic-lifeline
SUB-026,SCADA-0026,WaterPlant,0.525,45.9,117.1,120.2,synthetic-lifeline
SUB-027,SCADA-0027,Switchgear,0.848,69.1,123.5,116.7,ETT-ETTh1-row6364
SUB-028,SCADA-0028,Transformer,0.758,71.7,115.6,117.6,ETT-ETTh1-row5521
SUB-029,SCADA-0029,Transformer,0.813,63.3,117.9,125.2,ETT-ETTh1-row5108
SUB-030,SCADA-0030,Switchgear,0.516,67.3,120.6,127.7,ETT-ETTh1-row11675
SUB-031,SCADA-0031,Switchgear,0.746,84.4,121.6,120.1,ETT-ETTh1-row2009
SUB-032,SCADA-0032,Battery,0.861,63.4,123.1,115.3,ETT-ETTh1-row13032
SUB-033,SCADA-0033,Switchgear,0.884,61.3,115.2,113.8,ETT-ETTh1-row14349
SUB-034,SCADA-0034,Pump,0.535,66.7,116.6,122.0,synthetic-lifeline
SUB-035,SCADA-0035,Hospital,0.629,49.6,119.5,119.6,synthetic-lifeline
SUB-036,SCADA-0036,Transformer,0.337,74.0,118.0,124.6,ETT-ETTh1-row6613
SUB-037,SCADA-0037,Switchgear,0.514,69.3,118.6,113.8,ETT-ETTh1-row16929
SUB-038,SCADA-0038,Hospital,0.735,48.5,124.1,126.0,synthetic-lifeline
SUB-039,SCADA-0039,Switchgear,0.821,76.6,117.7,131.4,ETT-ETTh1-row9768
SUB-040,SCADA-0040,Transformer,0.788,65.0,122.8,126.3,ETT-ETTh1-row13049
SUB-041,SCADA-0041,Transformer,0.800,82.8,119.5,117.4,ETT-ETTh1-row2073
SUB-042,SCADA-0042,Transformer,0.839,67.2,116.0,130.1,ETT-ETTh1-row4940
SUB-043,SCADA-0043,Switchgear,0.814,95.6,119.6,116.0,ETT-ETTh1-row540
SUB-044,SCADA-0044,Transformer,0.527,67.1,118.1,123.6,ETT-ETTh1-row17267
SUB-045,SCADA-0045,Hospital,0.693,50.3,122.6,126.4,synthetic-lifeline
SUB-046,SCADA-0046,Switchgear,0.766,86.9,119.3,124.5,ETT-ETTh1-row1602
SUB-047,SCADA-0047,Battery,0.827,70.1,120.8,125.0,ETT-ETTh1-row17085
SUB-048,SCADA-0048,Hospital,0.516,47.5,115.4,121.9,synthetic-lifeline
SUB-049,SCADA-0049,Transformer,0.854,90.7,118.3,114.9,ETT-ETTh1-row979
SUB-050,SCADA-0050,Switchgear,0.730,76.9,116.0,123.8,ETT-ETTh1-row7894
