id,scada_link_id,wind_speed,surge_level,wind_source,surge_source
SUB-001,SCADA-0001,74.5,5.28,open-meteo-cache:26.4_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-002,SCADA-0002,36.0,0.80,open-meteo-cache:28.1_-82.4,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-003,SCADA-0003,59.6,3.20,open-meteo-cache:26.8_-81.7,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-004,SCADA-0004,39.1,0.59,open-meteo-cache:27.9_-82.7,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-005,SCADA-0005,68.8,3.82,open-meteo-cache:26.9_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-006,SCADA-0006,46.8,0.53,open-meteo-cache:27.8_-82.4,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-007,SCADA-0007,53.5,3.29,open-meteo-cache:27.1_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-008,SCADA-0008,48.4,0.83,open-meteo-cache:27.5_-82.6,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-009,SCADA-0009,41.3,0.90,open-meteo-cache:28.1_-81.9,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-010,SCADA-0010,69.0,4.18,open-meteo-cache:26.6_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-011,SCADA-0011,69.0,4.08,open-meteo-cache:26.6_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-012,SCADA-0012,69.0,4.07,open-meteo-cache:26.6_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-013,SCADA-0013,59.0,3.59,open-meteo-cache:27.0_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-014,SCADA-0014,59.0,3.60,open-meteo-cache:27.0_-82.0,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-015,SCADA-0015,54.5,1.56,open-meteo-cache:27.3_-82.5,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-016,SCADA-0016,55.1,2.91,open-meteo-cache:26.1_-81.7,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
SUB-017,SCADA-0017,56.2,3.15,open-meteo-cache:26.2_-81.7,"coops-idw:Fort Myers,Clearwater Beach,St Petersburg"
