scada_link_id,load,oil_temp,voltage,battery_voltage,wind_speed,surge_level
SCADA-0001,0.639,76.7,122.7,120.8,115.0,12.00
SCADA-0002,0.629,70.8,115.9,131.5,36.0,0.80
SCADA-0003,0.846,74.0,122.6,127.7,59.6,3.20
SCADA-0004,0.656,72.2,116.3,121.0,39.1,0.59
SCADA-0005,0.721,56.1,121.4,128.5,68.8,3.82
SCADA-0006,0.702,62.5,119.4,116.5,46.8,0.53
SCADA-0007,0.687,65.0,120.5,113.3,53.5,3.29
SCADA-0008,0.814,60.6,123.3,124.6,48.4,0.83
SCADA-0009,0.814,70.2,122.6,119.1,41.3,0.90
SCADA-0010,0.970,83.6,124.7,129.9,69.0,4.18
SCADA-0011,0.428,68.4,119.7,112.9,69.0,4.08
SCADA-0012,0.623,49.6,122.4,131.4,69.0,4.07
SCADA-0013,0.498,54.8,119.7,115.8,59.0,3.59
SCADA-0014,0.832,92.1,116.3,121.5,59.0,3.60
SCADA-0015,0.618,51.8,119.4,128.7,54.5,1.56
SCADA-0016,0.475,66.0,123.3,128.1,55.1,2.91
SCADA-0017,0.680,69.1,118.9,117.8,56.2,3.15
SCADA-0018,0.732,86.9,121.8,114.8,63.5,3.40
SCADA-0019,0.675,71.6,117.0,112.1,46.8,0.55
SCADA-0020,0.894,91.9,122.9,125.3,65.7,3.50
SCADA-0021,0.877,60.4,122.1,127.6,51.2,0.66
SCADA-0022,0.733,66.3,119.6,123.4,74.5,5.32
SCADA-0023,0.396,49.2,121.7,121.4,65.7,3.98
SCADA-0024,0.728,70.4,120.7,127.3,56.5,3.38
SCADA-0025,0.571,64.0,120.6,118.1,74.5,3.65
SCADA-0026,0.525,45.9,117.1,120.2,46.8,0.55
SCADA-0027,0.848,69.1,123.5,116.7,42.4,0.73
SCADA-0028,0.758,71.7,115.6,117.6,54.7,1.05
SCADA-0029,0.813,63.3,117.9,125.2,32.0,0.74
SCADA-0030,0.516,67.3,120.6,127.7,57.7,1.30
SCADA-0031,0.746,84.4,121.6,120.1,43.4,0.89
SCADA-0032,0.861,63.4,123.1,115.3,59.6,3.85
SCADA-0033,0.884,61.3,115.2,113.8,65.7,3.71
SCADA-0034,0.535,66.7,116.6,122.0,62.2,3.49
SCADA-0035,0.629,49.6,119.5,119.6,65.7,3.52
SCADA-0036,0.337,74.0,118.0,124.6,47.3,0.64
SCADA-0037,0.514,69.3,118.6,113.8,53.2,1.00
SCADA-0038,0.735,48.5,124.1,126.0,74.3,2.95
SCADA-0039,0.821,76.6,117.7,131.4,64.4,3.36
SCADA-0040,0.788,65.0,122.8,126.3,31.1,0.71
SCADA-0041,0.800,82.8,119.5,117.4,39.6,0.80
SCADA-0042,0.839,67.2,116.0,130.1,57.8,0.96
SCADA-0043,0.814,95.6,119.6,116.0,68.8,3.70
SCADA-0044,0.527,67.1,118.1,123.6,42.4,0.66
SCADA-0045,0.693,50.3,122.6,126.4,54.5,1.51
SCADA-0046,0.766,86.9,119.3,124.5,54.5,1.55
SCADA-0047,0.827,70.1,120.8,125.0,46.8,0.52
SCADA-0048,0.516,47.5,115.4,121.9,43.9,0.69
SCADA-0049,0.854,90.7,118.3,114.9,49.9,1.10
SCADA-0050,0.730,76.9,116.0,123.8,64.0,2.95
